text_lenght;nr_word;contains_?;contains_!;contains_multiple_!?;nr_of_urls;contains_url;contains_media;contains_hashtag;contains_dollar;contains_mention;registration_age;statuses_count;followers_count;friends_count;verified;desc_lenght;desc_contains_url;default_profile;default_profile_img;profile_use_background_image;label
122;39;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4489;390384;5392;1684;0.0;34;0.0;0.0;0.0;0.0;0
123;39;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3300;81387;1445;2741;0.0;99;0.0;0.0;0.0;1.0;0
127;42;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;4944;232757;8701;8483;0.0;0;0.0;0.0;0.0;1.0;0
134;33;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;4944;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
110;29;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;3837;163054;324988;743;0.0;126;0.0;0.0;0.0;1.0;0
138;37;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4748;482570;4761;2025;0.0;101;0.0;1.0;0.0;1.0;0
119;33;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;2249;95871;1330;1681;0.0;42;0.0;0.0;0.0;0.0;0
124;36;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;3717;7567;410;797;0.0;135;0.0;0.0;0.0;0.0;0
74;17;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4839;602740;1359;8;0.0;25;0.0;0.0;0.0;1.0;0
74;17;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;4495;507870;757;1873;0.0;22;1.0;0.0;0.0;1.0;0
88;21;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;4839;62006;349;228;0.0;86;0.0;0.0;0.0;1.0;0
98;21;0.0;0.0;0.0;2;1.0;0.0;0.0;0.0;0.0;2694;507870;757;1873;0.0;22;1.0;0.0;0.0;1.0;0
105;31;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;1848;173826;462;438;0.0;108;0.0;1.0;0.0;1.0;0
109;34;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;1791;8056;14;95;0.0;0;0.0;1.0;0.0;1.0;0
